GEM plant ID,Plant name (English),Owner,Parent (English),Country/area,Region,Subnational unit,Latitude,Longitude,Coordinate accuracy,Plant status,Number of units,Plant age (years),Nominal crude steel capacity (ttpa),Nominal iron capacity (ttpa),Ferronickel capacity (ttpa),Sinter plant capacity (ttpa),Coking plant capacity (ttpa),Pelletizing plant capacity (ttpa),Main production equipment,Workforce size,GEM wiki page
P100000120454,Acerinox Europa Los Barrios steel plant,Acerinox Europa SAU,Acerinox SA [100.0%],Spain,Europe,Cádiz,36.181686,-5.426626,exact,operating,1,56.0,1200.0,0.0,,,,,EAF,1746,https://www.gem.wiki/Acerinox_Europa_Los_Barrios_steel_plant
P100000120768,Aceros Arequipa Pisco steel plant,Corporacion Aceros Arequipa SA,Corporacion Aceros Arequipa SA [100.0%],Peru,Central & South America,Ica,-13.788622,-76.168173,exact,operating,2,39.0,1250.0,0.0,,,,,EAF; DRI,730,https://www.gem.wiki/Aceros_Arequipa_Pisco_steel_plant
P100001045296,Action Ispat and Power Jharsuguda steel plant,Action Ispat and Power Pvt Ltd,Action Ispat and Power Pvt Ltd [100.0%],India,Asia Pacific,Odisha,21.839759,83.982227,exact,operating,2,,375.0,220.0,,,,,DRI; IF; Steel other/unspecified,unknown,https://www.gem.wiki/Action_Ispat_and_Power_Jharsuguda_steel_plant
P100001025815,Adhunik Metaliks Kuanrmunda steel plant,Adhunik Metaliks Ltd,natural person(s) [36.1%]; small shareholder(s) [28.8%]; Mahanada Suppliers Pvt Ltd [22.6%]; Sunrwoth Stocks Pvt Ltd [12.5%],India,Asia Pacific,Odisha,22.308371,84.763584,exact,operating,1,22.81,500.0,330.0,,,,,BF; DRI; EAF,1500,https://www.gem.wiki/Adhunik_Metaliks_Kuanrmunda_steel_plant
P100000120757,African Natural Resources and Mines Kaduna steel plant,African Natural Resources & Mines Ltd,African Industries Ltd,Nigeria,Africa,Kaduna State,9.462715,7.368,exact,operating,2,1.45,0.0,1000.0,,,,5400.0,DRI; Steel other/unspecified,3500,https://www.gem.wiki/African_Natural_Resources_and_Mines_Kaduna_steel_plant
P100000120624,AFV Accaierie Beltrame Vicenza steel plant,AFV Acciaierie Beltrame SpA,Beltrame Holding SpA [91.9%]; unknown [8.1%],Italy,Europe,Province of Vicenza,45.522097,11.499295,exact,operating,1,50.0,1200.0,0.0,,,,,EAF,419,https://www.gem.wiki/AFV_Accaierie_Beltrame_Vicenza_steel_plant
P100000121240,AFV Donalam Targoviste steel plant,Donalam SRL,Beltrame Holding SpA [86.1%]; unknown [7.6%],Romania,Europe,Județul Dâmbovița,44.904569,25.458124,exact,operating pre-retirement,2,53.0,300.0,0.0,,,,,EAF,730,https://www.gem.wiki/AFV_Donalam_Targoviste_steel_plant
P100000120423,AG der Dillinger Hüttenwerke Dillingen steel plant,AG der Dillinger Hüttenwerke AG,Montan-Stiftung-Saar [50.9%]; ArcelorMittal SA [29.8%]; unknown [8.7%],Germany,Europe,Saarland,49.353884,6.746603,exact,operating pre-retirement,4,57.0,2760.0,4782.0,,,,,DRI; EAF; BF; BOF,3600,https://www.gem.wiki/AG_der_Dillinger_Hüttenwerke_Dillingen_steel_plant
P100000120494,AG Sidegua Masagua steel plant,Corporación AG SA,Fundacion Jose Luis Gabriel; Industrial Assets Fund LP,Guatemala,Central & South America,Escuintla,14.232007,-90.815444,exact,operating,1,32.0,500.0,0.0,,,,,EAF,1080,https://www.gem.wiki/AG_Sidegua_Masagua_steel_plant
P100000120782,Agha Steel Industries Karachi plant,Agha Steel Industries Ltd,Agha Steel Industries Ltd [100.0%],Pakistan,Asia Pacific,Sindh,24.841851,67.310159,exact,operating,2,14.14,450.0,0.0,,,,,EAF; BF,unknown,https://www.gem.wiki/Agha_Steel_Industries_Karachi_plant
P100000121224,Ahya Steel Folad Baft Company DRI plant,Ahya Steel Folad Baft Co,Bank of Industry and Mine (Iran); Tourism Financial Group,Iran,Middle East,Kerman,29.289109,56.490707,exact,operating,1,7.0,0.0,1600.0,,,,,DRI,700,https://www.gem.wiki/Ahya_Steel_Folad_Baft_Company_DRI_plant
P100000120644,Aichi Steel Chita plant (Tokai),Aichi Steel Corp,Aichi Steel Corp [100.0%],Japan,Asia Pacific,Chūbu,35.044558,136.900772,exact,operating,1,83.0,1495.0,0.0,,,,,EAF,965,https://www.gem.wiki/Aichi_Steel_Chita_plant_(Tokai)
P100000120756,Ajaokuta Steel plant,Ajaokuta Steel Co Ltd,Ajaokuta Steel Co Ltd [100.0%],Nigeria,Africa,Kogi State,7.511336,6.689364,exact,construction,1,,0.0,0.0,,2610.0,880.0,,BF; BOF,10000,https://www.gem.wiki/Ajaokuta_Steel_plant
P100000121166,Aktobe Generatsiya steel plant,Aktobe Generatsiya LLC,Aktobe Generatsiya LLC [100.0%],Kazakhstan,Eurasia,Aktobe,50.355117,57.145119,approximate,announced,1,0.05,0.0,0.0,,1300.0,,,BF; BOF,2600,https://www.gem.wiki/Aktobe_Generatsiya_steel_plant
P100000120840,Al Atoun Yanbu steel plant,Al Atoun Steel Industries,Al Atoun Steel Industries [100.0%],Saudi Arabia,Middle East,Medina Province,24.029,38.180077,approximate,cancelled,1,,0.0,0.0,,,,,EAF,unknown,https://www.gem.wiki/Al_Atoun_Yanbu_steel_plant
P100000120835,Al Ittefaq Arab Steel Dammam plant,Arab Steel Co,Hilal Al-Tuwairqi [60.0%]; unknown [40.0%],Saudi Arabia,Middle East,Eastern Province,26.277917,49.949177,exact,operating,2,37.0,2600.0,1400.0,,,,2500.0,DRI; EAF,350,https://www.gem.wiki/Al_Ittefaq_Arab_Steel_Dammam_plant
P100000120836,Al Ittefaq National Steel Dammam plant,National Steel Co,Hilal Al-Tuwairqi; unknown,Saudi Arabia,Middle East,Eastern Province,26.244786,49.969064,exact,operating,1,22.0,1000.0,0.0,,,,,EAF,unknown,https://www.gem.wiki/Al_Ittefaq_National_Steel_Dammam_plant
P100000121248,Al Qaryan steel plant,Al Qaryan Steel Co,Al Qaryan Group [75.0%]; Al Wabel for Trading and Industry [25.0%],Saudi Arabia,Middle East,Dammam,26.280741,49.956755,exact,operating,2,9.0,350.0,0.0,,,,,IF; EAF,unknown,https://www.gem.wiki/Al_Qaryan_steel_plant
P100000120446,Al-Ezz Dekheila Steel Alexandria plant,Al Ezz Dekheila Steel Company Alexandria SAE,Al Ezz Dekheila Steel Company Alexandria SAE [100.0%],Egypt,Africa,Alexandria,31.123467,29.80987,exact,operating,1,40.0,3340.0,2320.0,,,,,DRI; EAF,3756,https://www.gem.wiki/Al-Ezz_Dekheila_Steel_Alexandria_plant
P100000120905,Alchevsk Metallurgical Plant,Alchevsk Metallurgical Plant PJSC,Southern Mining and Metallurgical Complex LLC,Ukraine,Europe,Luhansk,48.478111,38.770787,exact,operating,3,130.0,5472.0,5239.0,,5400.0,989.0,,BF; BOF,10000,https://www.gem.wiki/Alchevsk_Metallurgical_Plant
P100000120623,Alfa Acciai Brescia steel plant,Alfa Acciai SpA,Siderurgica Investimenti SRL,Italy,Europe,Province of Brescia,45.508698,10.248464,exact,operating,1,71.0,2000.0,0.0,,,,,EAF,300,https://www.gem.wiki/Alfa_Acciai_Brescia_steel_plant
P100000120637,Alfa Acciai Catania steel plant,Acciaierie di Sicilia SpA,Siderurgica Investimenti SRL,Italy,Europe,Province of Sicily,37.438448,15.03287,exact,operating,1,28.0,500.0,0.0,,,,,EAF,176,https://www.gem.wiki/Alfa_Acciai_Catania_steel_plant
P100000120439,Algerian Qatari Steel Jijel plant,Algerian Qatari Steel,Industries Qatar QPSC [49.0%]; FNI - Fonds National d’Investissement [5.0%]; Groupe Industriel Sider SpA,Algeria,Africa,Jijel,36.753961,6.24442,exact,operating,2,9.0,2100.0,2500.0,,,,,DRI; EAF,2800,https://www.gem.wiki/Algerian_Qatari_Steel_Jijel_plant
P100000120059,Algoma steel plant,Algoma Steel Group Inc,Algoma Steel Group Inc [100.0%],Canada,North America,Ontario,46.518984,-84.374068,exact,operating,3,125.0,1850.0,0.0,,,,,EAF; BF; BOF,2780,https://www.gem.wiki/Algoma_steel_plant
P100000120750,Alliance Steel Kuantan plant,Alliance Steel (M) Sdn Bhd,Guangxi Beibu Gulf International Port Group Co Ltd [50.0%]; Guangxi Shenglong Metallurgical Co Ltd [50.0%],Malaysia,Asia Pacific,Pahang,4.007595,103.344458,exact,operating,2,9.0,3500.0,3500.0,,,1100.0,720.0,BF; BOF; Iron other/unspecified; Steel other/unspecified,3500,https://www.gem.wiki/Alliance_Steel_Kuantan_plant
P100001063588,Alter Steel Pinkenba steel plant,Equest Steel Pty Ltd,Westview Group,Australia,Asia Pacific,Queensland,-27.42083,153.127715,approximate,announced,1,,0.0,0.0,,,,,EAF,216,https://www.gem.wiki/Alter_Steel_Pinkenba_steel_plant
P100000120998,Alton Steel plant,Alton Steel Inc,Alton Steel Inc [100.0%],United States,North America,Illinois,38.884465,-90.14579,exact,retired,1,23.0,0.0,0.0,,,,,EAF,250,https://www.gem.wiki/Alton_Steel_plant
P100000120724,Altos Hornos De Mexico SA (AHMSA) steel plant,Altos Hornos de Mexico SAB de CV,Grupo Acerero del Norte SA de CV [64.0%]; small shareholder(s) [36.0%],Mexico,North America,Coahuila,26.876889,-101.416612,exact,mothballed,1,82.0,0.0,0.0,,2263.0,821.0,4200.0,BF; BOF; EAF,7366,https://www.gem.wiki/Altos_Hornos_De_Mexico_SA_(AHMSA)_steel_plant
P100001064479,Amir Azerbaijan Steel plant,AFA Steel,AFA Steel [100.0%],Iran,Middle East,East Azerbaijan,46.843697,46.843697,approximate,operating,1,5.0,500.0,0.0,,,,,IF,300,https://www.gem.wiki/Amir_Azerbaijan_Steel_plant
P100000121247,Amirkabir Arak Steel plant,Amir Kabir Arak Steel Co,Amirkabir Khazar Steel Co,Iran,Middle East,Markazi,34.083379,49.752451,approximate,construction,1,,0.0,0.0,,,,,DRI; EAF,400,https://www.gem.wiki/Amirkabir_Arak_Steel_plant
P100000121232,Amreli Steels Dhabeji plant,Amreli Steels Ltd,Amreli Steels Ltd [100.0%],Pakistan,Asia Pacific,Sindh,24.800326,67.504851,exact,operating,2,15.0,600.0,0.0,,,,,IF; Steel other/unspecified,757,https://www.gem.wiki/Amreli_Steels_Dhabeji_plant
P100000120803,Amurstal steel plant,Amurstal LLC,Armada JSC [100.0%],Russia,Eurasia,Khabarovsk,50.563131,136.976362,exact,operating,3,84.0,1150.0,0.0,,,,,EAF; DRI,2277,https://www.gem.wiki/Amurstal_steel_plant
P100000120163,Angang Group Xinyang Iron and Steel Co Ltd,"Xinyang Iron & Steel Co.,ltd of Angang Group",natural person(s) [65.2%]; Henan PROVINCE HENGCHANG Trading Co Ltd [15.8%]; unknown [10.4%]; Henan State Owned Capital Operation Group Co Ltd [8.6%],China,Asia Pacific,Henan,32.488704,114.038243,exact,operating,2,55.0,3600.0,2988.0,,,600.0,,BF; BOF,3711,https://www.gem.wiki/Angang_Group_Xinyang_Iron_and_Steel_Co_Ltd
P100000120089,Angang Lianzhong Stainless Steel Co Ltd,Angang Lianzhong Stainless Steel Corp,Ansteel Group Co Ltd [60.0%]; Lianzhong Co Ltd [18.2%]; power rich Co Ltd [17.4%]; unknown [4.4%],China,Asia Pacific,Guangdong,23.126822,113.505817,exact,operating,1,25.0,1900.0,0.0,,,,,EAF,1764,https://www.gem.wiki/Angang_Lianzhong_Stainless_Steel_Co_Ltd
P100000120219,Angang Steel Co Ltd,Angang Steel Co Ltd,Angang Steel Co Ltd [100.0%],China,Asia Pacific,Liaoning,41.148267,122.983054,exact,operating,3,27.43,20650.0,16610.0,,,,,BF; BOF; DRI,31456,https://www.gem.wiki/Angang_Steel_Co_Ltd
P100000120220,Angang Steel Co Ltd Bayuquan branch,Angang Steel Co Ltd,Angang Steel Co Ltd [100.0%],China,Asia Pacific,Liaoning,40.308494,122.13079,exact,operating,1,20.0,7500.0,6400.0,,,,,BF; BOF,4072,https://www.gem.wiki/Angang_Steel_Co_Ltd_Bayuquan_branch
P100000120070,Anhui Changjiang Steel Co Ltd,Anhui Changjiang Steel Co Ltd,Maanshan Iron & Steel Co Ltd [55.0%]; natural person(s) [37.2%]; unknown [7.8%],China,Asia Pacific,Anhui,31.502272,118.465162,exact,operating,1,23.0,3800.0,3340.0,,1375.0,,,BF; BOF; EAF,3705,https://www.gem.wiki/Anhui_Changjiang_Steel_Co_Ltd
P100000120071,Anhui Guihang Special Steel Co Ltd,Anhui Guihang Special Steel Co Ltd,Anhui Guihang Special Steel Co Ltd [100.0%],China,Asia Pacific,Anhui,30.531068,117.251147,exact,operating,1,15.89,2700.0,2080.0,,,,,BF; BOF,3000,https://www.gem.wiki/Anhui_Guihang_Special_Steel_Co_Ltd
P100000120391,Anhui Jin an Stainless Steel Casting Co Ltd,Anhui Jin'an Stainless Steel Foundry Co Ltd,Anhui Xinda Steel Development Co Ltd [100.0%],China,Asia Pacific,Anhui,31.763956,115.924372,exact,operating,1,4.0,500.0,0.0,,,,,EAF,279,https://www.gem.wiki/Anhui_Jin_an_Stainless_Steel_Casting_Co_Ltd
P100000120417,Anhui Jingxian Longxin Iron and Steel Co Ltd,Anhui Jingxian Longxin Iron and Steel Co Ltd,Anhui Jingxian Longxin Iron and Steel Co Ltd [100.0%],China,Asia Pacific,Anhui,30.709058,118.436638,exact,operating,2,18.0,500.0,0.0,,,,,EAF,454,https://www.gem.wiki/Anhui_Jingxian_Longxin_Iron_and_Steel_Co_Ltd
P100000120402,Anhui Langxi Hongtai Iron and Steel Co Ltd,Anhui Langxi County Fuhang Steel Co Ltd,Anhui Langxi County Fuhang Steel Co Ltd [100.0%],China,Asia Pacific,Anhui,31.246635,119.120443,exact,operating,2,24.0,1000.0,0.0,,,,,EAF,541,https://www.gem.wiki/Anhui_Langxi_Hongtai_Iron_and_Steel_Co_Ltd
P100001025923,Anhui Lixin Special Steel Co Ltd,"Guangde Xinyuanda Metal Products Co., Ltd. Co Ltd","Guangde Xinyuanda Metal Products Co., Ltd. Co Ltd [100.0%]",China,Asia Pacific,Anhui,31.0494162,119.5296269,exact,operating,1,14.24,500.0,0.0,,,,,EAF,335,https://www.gem.wiki/Anhui_Lixin_Special_Steel_Co_Ltd
P100000120313,Anhui Shoukuang Dachang Metal Material Co Ltd,Anhui Shoukuang Dachang Metal Material Co Ltd,CSCEC Rongdong Investment Holding Co Ltd [89.0%]; Fang TongZhou Holding Co Ltd [7.9%]; unknown [3.1%],China,Asia Pacific,Anhui,32.329171,115.954963,exact,operating,1,16.0,3000.0,7442.0,,,1200.0,,BF; BOF,3955,https://www.gem.wiki/Anhui_Shoukuang_Dachang_Metal_Material_Co_Ltd
P100000120748,Ann Joo Integrated Steel Penang plant,Ann Joo Integrated Steel Sdn Bhd,Ann Joo Resources Bhd [100.0%],Malaysia,Asia Pacific,Penang,5.380391,100.377598,exact,operating,1,19.0,900.0,500.0,,,,,BF; EAF,663,https://www.gem.wiki/Ann_Joo_Integrated_Steel_Penang_plant
P100000120749,Ann Joo Steel Selangor plant,Ann Joo Steel Bhd,Ann Joo Resources Bhd [100.0%],Malaysia,Asia Pacific,Selangor,3.042585,101.537011,exact,operating,1,65.0,820.0,0.0,,,,,EAF,663,https://www.gem.wiki/Ann_Joo_Steel_Selangor_plant
P100000120231,Anshan Baode Iron and Steel Co Ltd,Anshan Baode Iron & Steel Co Ltd,Anshan Baode Iron & Steel Co Ltd [100.0%],China,Asia Pacific,Liaoning,41.173613,122.945501,exact,operating,1,26.73,1800.0,1150.0,,2395.0,,,BF; BOF,2235,https://www.gem.wiki/Anshan_Baode_Iron_and_Steel_Co_Ltd
P100000120509,Anshan Iron and Steel Central Sulawesi steel plant,Anshan Iron and Steel Group Co Ltd,Ansteel Group Co Ltd [100.0%],Indonesia,Asia Pacific,Central Sulawesi,-4.244263,122.371221,approximate,cancelled,1,,0.0,0.0,,,,,BOF; Iron other/unspecified,unknown,https://www.gem.wiki/Anshan_Iron_and_Steel_Central_Sulawesi_steel_plant
P100000120221,Ansteel Group Chaoyang Steel and Iron Co Ltd,Angang Steel Co Ltd,Angang Steel Co Ltd [100.0%],China,Asia Pacific,Liaoning,41.528945,120.369983,exact,operating,1,18.59,2100.0,2600.0,,,,,BF; BOF,2050,https://www.gem.wiki/Ansteel_Group_Chaoyang_Steel_and_Iron_Co_Ltd
P100000120170,Anyang Huixin Special Steel Co Ltd,Anyang Huixin Special Steel Co Ltd,"Henan Jingchang Coal Chemical Co Ltd [90.0%]; Henan Xinlei Group HOLDINGS Co Ltd [6.2%]; Henan LIYUAN Coking Group Co Ltd [1.3%]; Henan Shuncheng Group,coal Co Ltd [1.3%]; Henan Yulong Coking Co Ltd [1.3%]",China,Asia Pacific,Henan,36.152418,114.15839,exact,retired,1,21.0,0.0,0.0,,,,,BF; BOF,unknown,https://www.gem.wiki/Anyang_Huixin_Special_Steel_Co_Ltd
P100000120160,Anyang Iron and Steel Co Ltd,Anyang Iron & Steel Co Ltd,Anyang Iron & Steel Co Ltd [100.0%],China,Asia Pacific,Henan,36.122129,114.283145,exact,operating,3,68.0,1300.0,7969.0,,,,,BF; BOF; EAF,12094,https://www.gem.wiki/Anyang_Iron_and_Steel_Co_Ltd
P100000120166,Anyang Xinpu Steel Co Ltd,Anyang Xinpu Steel Co Ltd,natural person(s) [49.0%]; Minyuan Iron and Steel Group Co Ltd [34.0%]; Fujian Mingfa Investment Co Ltd [17.0%],China,Asia Pacific,Henan,36.163203,114.296223,exact,retired,1,20.41,0.0,0.0,,,,,BF; BOF,unknown,https://www.gem.wiki/Anyang_Xinpu_Steel_Co_Ltd
P100000120029,Aperam Stainless Belgium Châtelet steel plant,Aperam Stainless Belgium NV,Aperam SA [100.0%],Belgium,Europe,Wallonie,50.414998,4.532443,exact,operating,1,50.0,1000.0,0.0,,,,,EAF,1998,https://www.gem.wiki/Aperam_Stainless_Belgium_Châtelet_steel_plant
P100000120028,Aperam Stainless Belgium Genk steel plant,Aperam Stainless Belgium NV,Aperam SA [100.0%],Belgium,Europe,Limburg,50.933973,5.511494,exact,operating,1,56.0,1200.0,0.0,,,,,EAF,1192,https://www.gem.wiki/Aperam_Stainless_Belgium_Genk_steel_plant
P100000120053,Aperam Timóteo steel plant,Aperam Inox America do Sul SA,Aperam SA,Brazil,Central & South America,Minas Gerais,-19.531272,-42.639979,exact,operating,1,77.0,900.0,701.0,,,,,BF; EAF,3598,https://www.gem.wiki/Aperam_Timóteo_steel_plant
P100000121217,Arabian Gulf Steel Industries Abu Dhabi plant,Arabian Gulf Steel Industries Selling Port LLC,Arabian Gulf Steel Industries Selling Port LLC [100.0%],United Arab Emirates,Middle East,Abu Dhabi,24.283335,54.463384,exact,operating,1,18.0,600.0,0.0,,,,,IF,750,https://www.gem.wiki/Arabian_Gulf_Steel_Industries_Abu_Dhabi_plant
P100000120006,ArcelorMittal Acindar Villa Constitución steel plant,Acindar Industria Argentina de Aceros SA,ArcelorMittal SA [100.0%],Argentina,Central & South America,Santa Fe,-33.249936,-60.300415,exact,operating,1,80.0,2000.0,600.0,,,,,DRI; EAF,1594,https://www.gem.wiki/ArcelorMittal_Acindar_Villa_Constitución_steel_plant
P100000120459,ArcelorMittal Asturias (Aviles) steel plant,ArcelorMittal España SA,ArcelorMittal SA [99.8%]; small shareholder(s) [0.2%],Spain,Europe,Asturias,43.554741,-5.87259,exact,operating,1,76.0,4200.0,0.0,,,,,BOF,3205,https://www.gem.wiki/ArcelorMittal_Asturias_(Aviles)_steel_plant
P100000120452,ArcelorMittal Asturias (Gijón) steel plant,ArcelorMittal España SA,ArcelorMittal SA [99.8%]; small shareholder(s) [0.2%],Spain,Europe,Asturias,43.525092,-5.731926,exact,operating,4,55.0,1200.0,4700.0,,,,,BOF; DRI; EAF; BF,3375,https://www.gem.wiki/ArcelorMittal_Asturias_(Gijón)_steel_plant
P100000120050,ArcelorMittal Barra Mansa steel plant,ArcelorMittal Brasil SA,ArcelorMittal SA [97.1%]; small shareholder(s) [2.9%],Brazil,Central & South America,Rio de Janeiro,-22.525806,-44.191067,exact,operating,1,89.0,800.0,0.0,,,,,EAF,232,https://www.gem.wiki/ArcelorMittal_Barra_Mansa_steel_plant
P100000120532,ArcelorMittal Bellary steel plant,ArcelorMittal SA,ArcelorMittal SA [100.0%],India,Asia Pacific,Karnataka,15.139498,76.918417,approximate,cancelled,1,,0.0,0.0,,,,,Iron other/unspecified; Steel other/unspecified,unknown,https://www.gem.wiki/ArcelorMittal_Bellary_steel_plant
P100000120426,ArcelorMittal Bremen steel plant,ArcelorMittal Bremen GmbH,ArcelorMittal SA [100.0%],Germany,Europe,Bremen,53.133305,8.688193,exact,operating,2,69.0,3960.0,3900.0,,2100.0,2000.0,,BF; BOF; DRI; EAF,3100,https://www.gem.wiki/ArcelorMittal_Bremen_steel_plant
P100000120997,ArcelorMittal Calvert steel plant,AM/NS Calvert LLC,ArcelorMittal SA [100.0%],United States,North America,Alabama,31.148446,-87.990521,exact,operating,2,1.0,1500.0,0.0,,,,,EAF,1700,https://www.gem.wiki/ArcelorMittal_Calvert_steel_plant
P100000120785,ArcelorMittal Dąbrowa Górnicza steel plant,ArcelorMittal Poland SA,ArcelorMittal SA [100.0%],Poland,Europe,Silesia,50.342417,19.285037,exact,operating,2,50.0,5001.0,2300.0,,,,,BF; BOF,8800,https://www.gem.wiki/ArcelorMittal_Dąbrowa_Górnicza_steel_plant
P100000120714,ArcelorMittal Differdange steel plant,ArcelorMittal SA,ArcelorMittal SA [100.0%],Luxembourg,Europe,Esch-sur-Alzette,49.527966,5.900398,exact,operating,1,130.0,1350.0,0.0,,,,,EAF,800,https://www.gem.wiki/ArcelorMittal_Differdange_steel_plant
P100000120058,ArcelorMittal Dofasco steel plant,ArcelorMittal Dofasco GP,ArcelorMittal SA [100.0%],Canada,North America,Ontario,43.269255,-79.804858,exact,operating,5,114.0,4050.0,2929.0,,,,,EAF; DRI; BF; BOF,5000,https://www.gem.wiki/ArcelorMittal_Dofasco_steel_plant
P100000120428,ArcelorMittal Duisburg steel plant,ArcelorMittal Duisburg GmbH,ArcelorMittal SA [100.0%],Germany,Europe,North Rhine-Westphalia,51.462987,6.744612,exact,operating pre-retirement,2,174.0,1300.0,0.0,,,,,EAF; BOF,800,https://www.gem.wiki/ArcelorMittal_Duisburg_steel_plant
P100000120472,ArcelorMittal Dunkerque steel plant,ArcelorMittal Atlantique et Lorraine SAS,ArcelorMittal Atlantique et Lorraine SAS [100.0%],France,Europe,Haus-de-France,51.041274,2.292948,exact,operating,4,63.0,6750.0,5400.0,,9600.0,1380.0,,BF; BOF; EAF; DRI,3200,https://www.gem.wiki/ArcelorMittal_Dunkerque_steel_plant
P100000120425,ArcelorMittal Eisenhüttenstadt steel plant,ArcelorMittal Eisenhüttenstadt GmbH,ArcelorMittal SA [100.0%],Germany,Europe,Brandenburg,52.168649,14.623473,exact,operating,2,76.0,2400.0,1825.0,,2900.0,,,BF; BOF; DRI; EAF,2700,https://www.gem.wiki/ArcelorMittal_Eisenhüttenstadt_steel_plant
P100000120715,ArcelorMittal Esch-Belval steel plant,ArcelorMittal SA,ArcelorMittal SA [100.0%],Luxembourg,Europe,Esch-sur-Alzette,49.504175,5.993759,exact,operating,2,115.0,2250.0,0.0,,,,,EAF,1000,https://www.gem.wiki/ArcelorMittal_Esch-Belval_steel_plant
P100000120475,ArcelorMittal Florange steel plant,ArcelorMittal Atlantique et Lorraine SAS,ArcelorMittal Atlantique et Lorraine SAS [100.0%],France,Europe,Grand Est,49.331722,6.143107,exact,retired,1,112.0,0.0,0.0,,4400.0,700.0,,BF; BOF,2300,https://www.gem.wiki/ArcelorMittal_Florange_steel_plant
P100000120027,ArcelorMittal Gent steel plant,ArcelorMittal SA,ArcelorMittal SA [100.0%],Belgium,Europe,Vlaanderen,51.169929,3.804462,exact,operating,2,60.0,5200.0,5000.0,,6935.0,1200.0,,BF; BOF; DRI; EAF,1933,https://www.gem.wiki/ArcelorMittal_Gent_steel_plant
P100000120427,ArcelorMittal Hamburg steel plant,ArcelorMittal Hamburg GmbH,ArcelorMittal SA [100.0%],Germany,Europe,Hamburg,53.522601,9.900749,exact,operating,2,57.0,1100.0,600.0,,,,,DRI; EAF,530,https://www.gem.wiki/ArcelorMittal_Hamburg_steel_plant
